IDQA,COORD_X,COORD_Y,ESTABLIMENT,TITULAR,GRUP_ACTIVITAT,EPIGRAF_DEI,EPIGRAF_PCAA,INFORME_PROGRAMA_2018,INFORME_PROGRAMA_2017,INFORME_PROGRAMA_2016,INFORME_PROGRAMA_2015,GEOMETRIA
2955,443131,4644446,GRANJA SERRAT DEL BANUS,"PINSOS COMPOSTOS VICTORIA, S.A.",Explotació ramadera,9.3.c),I.1 - 11.1.c),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/F/W-02955-B1INS180510-.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/F/B1INS150125_porvic_folgueroles.pdf,POINT (443131 4644446)
2956,396973,4626288,GRANJA JAUMANDREU,"WHACK 2000, S.L.",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/barcelona/F/W-02956-B1INS180080.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/barcelona/F/2956-B1INS150610.pdf,POINT (396973 4626288)
2957,335506,4637801,GRANJA GUARDIA PIJUAN,"AGROPECUARIA DE FORADADA, SL",Explotació ramadera,9.3.c),I.1 - 11.1.c),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/F/W-02957-L1INS180415.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/F/W-02957-L1INS170488.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/lleida/F/W-02957-L1INS160289.pdf,-,POINT (335506 4637801)
2958,306526,4579517,GRANJA VEREECKEN,"PROGAN TRADING 2005, SL",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/G/W-02958-L1INS170320.pdf,-,-,POINT (306526 4579517)
3131,311108,4628678,AVÍCOLA MELENDRES 2,"LA TORRETA PECUÀRIA, SL",Explotació ramadera,9.3.a),I.1 - 11.1.a),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/C/W-03131-L1INS170212.pdf,-,-,POINT (311108 4628678)
3132,312630,4635150,GRANJA LA COLLADA,ANTONI TERRE PUJOL,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/C/W-03132-L1INS170313.pdf,-,-,POINT (312630 4635150)
3133,430906,4642995,GRANJA MONELLOTS,"GRANGES TERRAGRISA, S.L.",Explotació ramadera,9.3.c),I.1 - 11.1.c),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/S/W-03133-B1INS170144.pdf,-,-,POINT (430906 4642995)
3243,298265,4589730,GRANJA PRATS,"DAVID GORT ESTEVE - N. CASTRO, S.C.P.",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/T/W-03243-L1INS180122.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/T/W-03243-L1INS170104.pdf,-,-,POINT (298265 4589730)
3244,293111,4628011,TORRE MONTROIG,"PEDROS-SOTUS, S.C.P.",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/A/W-03244-L1INS170063.pdf,-,-,POINT (293111 4628011)
3245,306729,4627816,GRANGES ARMENGOL 2,ANTONI ARMENGOL CAPDEVILA,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,-,-,POINT (306729 4627816)
3246,501101,4655830,BOSC DEL BARÓ-SECCIÓ A,"GRANGERS UNITS BA, SL",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/girona/F/W-03246-G1INS180165.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/girona/F/3246-G1INS160129.pdf,-,POINT (501101 4655830)
3247,310480,4602621,GRANJA BONAVENTURA CAPELL,ANTONI PUIG CAPELL,Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/P/W-03247-L1INS180489.pdf,-,-,-,POINT (310480 4602621)
3248,367301,4620031,GRANJA DOUCASTELLA,"DUOCASTELLA, SCP",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/E/W-03248-L1INS180535.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/lleida/E/W-03248-L1INS160507.pdf,-,POINT (367301 4620031)
3249,314650,4608925,MIGUEL ANGEL BRIGOLA SALLÁN,"EXPLOTACIONES BRINGOLA, SL",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,-,-,POINT (314650 4608925)
3250,436971,4601319,UVE 2003,"UVE 2003, SL",Gestor de residus,5.6,NO EPÍGRAF,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/P/3250_B2INS160353.pdf,-,POINT (436971 4601319)
3251,443825,4650210,TEULARIA DEL CUNÍ,"PRAT PARAREDA, SL",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/barcelona/E/W-03251-B1INS170549.pdf,-,-,POINT (443825 4650210)
3252,396581,4653206,GRANJA ISIDRÓ,"CASA ISIDRÓ, SCP",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/M/3252_B1INS160541.pdf,-,POINT (396581 4653206)
3253,413838,4634645,GRANJA ROVIRA-3,"GRANJA DANIEL, S.L.",Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/A/3253_B1INS160581.pdf,-,POINT (413838 4634645)
3254,483306,4660495,HARIBO ESPAÑA,"HARIBO ESPAÑA, SAU",Industrial,9.1.b)iii),I.1 - 7.2. b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/girona/C/W-03254-G1INS170045.pdf,-,-,POINT (483306 4660495)
3255,422400,4654050,GRANJA SERRAROLS,"GRANGES TERRAGRISA, S.L.U.",Explotació ramadera,9.3.c),I.1 - 11.1.c),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/S/W-03255-B1INS160587.pdf,-,POINT (422400 4654050)
3256,478352,4639382,CAN FORMIGA,"TREBALLS AGRÍCOLES VIÑOLAS, SL",Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/girona/V/W-03256-G1INS180041.pdf,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/girona/V/W-03256-G1INS170041.pdf,-,-,POINT (478352 4639382)
3257,343837,4585196,GRANJA LES COMES,RAMON CLOSA MANUEL,Explotació ramadera,9.3.c),I.1 - 11.1.c),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/tarragona/E/W-03257-T1INS170009.pdf,-,-,POINT (343837 4585196)
3134,335761,4638371,MOLÍ DE L'OLI,ANTONI SOLE CHANDRE,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2017/lleida/F/W-03134-L1INS170361.pdf,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/F/3134-L1INS150406.pdf,POINT (335761 4638371)
3135,280930,4613171,GRANJA NICOLAS,SALVADOR RODRIGUEZ SCP,Explotació ramadera,9.3.b),I.1 - 11.1.b),http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2018/lleida/G/W-03135-L1INS180220.pdf,-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2015/lleida/G/W-03135-L1INS150012.pdf,POINT (280930 4613171)
3136,439686,4646245,MAS GELTA,ANGEL VILA PUIG,Explotació ramadera,9.3.b),I.1 - 11.1.b),-,-,http://mediambient.gencat.cat/web/.content/home/ambits_dactuacio/empresa_i_produccio_sostenible/prevencio_i_control_dactivitats/la_llei_de_prev_i_control_amb_dact/control_ambiental_i_accio_inspectora/Inspeccio_ambiental/Informes_inspeccio_ambiental_integrada/Programa_2016/barcelona/G/3136_B1INS160506.pdf,-,POINT (439686 4646245)
